subgroup,threshold,precision,recall,reachable,precision_at_global_threshold
GLOBAL,0.947584605380064,0.9534883720930233,0.15375,True,0.9534883720930233
male,0.9589337588496936,1.0,0.17857142857142858,True,0.8333333333333334
female,0.9251188123026508,1.0,0.08571428571428572,True,1.0
homosexual_gay_or_lesbian,0.787704671456247,1.0,0.4117647058823529,True,1.0
christian,0.695174648233324,1.0,0.32142857142857145,True,1.0
jewish,0.393419133324932,1.0,0.5,True,1.0
muslim,0.9664140889464212,1.0,0.08,True,1.0
black,0.8188255011912783,1.0,0.21875,True,1.0
white,0.9911312658694904,1.0,0.08571428571428572,True,0.75
psychiatric_or_mental_illness,0.4589827684284442,1.0,0.4444444444444444,True,
